model,paper,entity_correct,entity_total,entity_accuracy,relation_correct,relation_total,relation_accuracy,overall_correct,overall_total,overall_accuracy,error
deepseek,GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,23,23,1.0,9,18,0.5,32,41,0.7805,
deepseek,PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,19,19,1.0,13,17,0.7647,32,36,0.8889,
deepseek,后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,30,32,0.9375,25,26,0.9615,55,58,0.9483,
deepseek,基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,18,18,1.0,6,14,0.4286,24,32,0.75,
deepseek,基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,62,65,0.9538,12,32,0.375,74,97,0.7629,
deepseek,基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,22,22,1.0,22,22,1.0,44,44,1.0,
deepseek,基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,48,49,0.9796,0,16,0.0,48,65,0.7385,
deepseek,基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,18,18,1.0,10,13,0.7692,28,31,0.9032,
deepseek,基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,63,63,1.0,18,18,1.0,81,81,1.0,
deepseek,基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,15,20,0.75,10,12,0.8333,25,32,0.7812,
deepseek,基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,15,15,1.0,12,12,1.0,27,27,1.0,
deepseek,基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,27,27,1.0,14,18,0.7778,41,45,0.9111,
deepseek,基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,14,14,1.0,3,13,0.2308,17,27,0.6296,
deepseek,基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,35,37,0.9459,22,22,1.0,57,59,0.9661,
deepseek,基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,77,85,0.9059,13,27,0.4815,90,112,0.8036,
deepseek,基于SVM方法的APU故障预测方法_MinerU__20250913052546,36,36,1.0,34,34,1.0,70,70,1.0,
deepseek,机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,16,16,1.0,7,12,0.5833,23,28,0.8214,
deepseek,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,30,30,1.0,28,28,1.0,58,58,1.0,
deepseek,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,6,6,1.0,4,6,0.6667,10,12,0.8333,
deepseek,航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,42,43,0.9767,10,38,0.2632,52,81,0.642,
deepseek,航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,10,10,1.0,7,8,0.875,17,18,0.9444,
deepseek,航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,48,52,0.9231,35,37,0.9459,83,89,0.9326,
deepseek,航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,18,20,0.9,11,11,1.0,29,31,0.9355,
deepseek,航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,25,25,1.0,20,20,1.0,45,45,1.0,
deepseek,航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,16,16,1.0,15,15,1.0,31,31,1.0,
deepseek,航空机电作动器健康管理验证系统研究_MinerU__20250913053120,18,18,1.0,18,18,1.0,36,36,1.0,
deepseek,航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,34,35,0.9714,20,20,1.0,54,55,0.9818,
deepseek,航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,43,43,1.0,21,23,0.913,64,66,0.9697,
deepseek,航空电子设备故障预测框架与方法_MinerU__20250913053514,13,13,1.0,11,11,1.0,24,24,1.0,
deepseek,航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,41,41,1.0,13,13,1.0,54,54,1.0,
deepseek,航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,17,17,1.0,14,14,1.0,31,31,1.0,
deepseek,飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,38,40,0.95,15,17,0.8824,53,57,0.9298,
deepseek,飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,59,60,0.9833,34,34,1.0,93,94,0.9894,
deepseek,飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,26,26,1.0,14,14,1.0,40,40,1.0,
deepseek,飞机发动机故障的多参数预测模型_MinerU__20250913053628,11,11,1.0,13,13,1.0,24,24,1.0,
deepseek,飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,19,20,0.95,9,10,0.9,28,30,0.9333,
deepseek,飞机性能参数预测的不确定性处理_MinerU__20250913053204,13,13,1.0,12,12,1.0,25,25,1.0,
deepseek,飞机操纵面故障的多参数预测模型_MinerU__20250913053608,6,6,1.0,4,4,1.0,10,10,1.0,
deepseek,飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,56,56,1.0,18,33,0.5455,74,89,0.8315,
deepseek,飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,13,13,1.0,3,10,0.3,16,23,0.6957,
deepseek,飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,35,35,1.0,16,24,0.6667,51,59,0.8644,
deepseek,飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,26,27,0.963,30,34,0.8824,56,61,0.918,
deepseek,飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,21,22,0.9545,17,20,0.85,38,42,0.9048,
deepseek,飞机空调冷却子系统故障预测_MinerU__20250913053938,23,23,1.0,3,8,0.375,26,31,0.8387,
deepseek,飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,55,55,1.0,12,43,0.2791,67,98,0.6837,
deepseek,飞机维修系统的演变_MinerU__20250913053201,19,19,1.0,0,6,0.0,19,25,0.76,
deepseek,飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,10,10,1.0,0,9,0.0,10,19,0.5263,
deepseek,飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,16,16,1.0,13,15,0.8667,29,31,0.9355,
deepseek,飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,14,14,1.0,5,12,0.4167,19,26,0.7308,
deepseek,飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,10,10,1.0,9,9,1.0,19,19,1.0,
gemini,GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,23,23,1.0,5,12,0.4167,28,35,0.8,
gemini,PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,33,33,1.0,17,18,0.9444,50,51,0.9804,
gemini,后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,28,29,0.9655,19,19,1.0,47,48,0.9792,
gemini,基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,18,20,0.9,6,14,0.4286,24,34,0.7059,
gemini,基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,32,32,1.0,15,16,0.9375,47,48,0.9792,
gemini,基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,36,36,1.0,14,17,0.8235,50,53,0.9434,
gemini,基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,23,23,1.0,8,10,0.8,31,33,0.9394,
gemini,基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,19,21,0.9048,7,14,0.5,26,35,0.7429,
gemini,基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,22,22,1.0,9,9,1.0,31,31,1.0,
gemini,基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,26,26,1.0,11,14,0.7857,37,40,0.925,
gemini,基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,20,20,1.0,19,19,1.0,39,39,1.0,
gemini,基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,25,25,1.0,7,8,0.875,32,33,0.9697,
gemini,基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,27,27,1.0,14,17,0.8235,41,44,0.9318,
gemini,基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,20,21,0.9524,6,18,0.3333,26,39,0.6667,
gemini,基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,60,63,0.9524,27,30,0.9,87,93,0.9355,
gemini,基于SVM方法的APU故障预测方法_MinerU__20250913052546,24,24,1.0,18,19,0.9474,42,43,0.9767,
gemini,机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,22,22,1.0,15,19,0.7895,37,41,0.9024,
