type,gemini,deepseek,kimi
Agent,0,16,0
主办单位,0,0,1
人物,16,16,11
任务,4,0,0
会议,1,1,2
传感器,14,28,5
体系结构,0,3,3
作者,1,5,1
供应商类型,0,0,1
信息流,0,3,3
健康状态,0,1,0
健康管理,0,1,0
元件,0,1,0
公司,5,13,11
公式,2,1,2
函数,29,17,8
分布,0,1,0
利益相关方,0,5,0
功能,10,18,0
功能模块,0,4,0
协议,1,1,0
原理,3,0,0
参数,19,97,64
发动机型号,0,0,1
图,0,9,0
图表类型,5,0,0
地区,0,0,1
地点,1,0,1
子系统,0,8,0
学科,0,2,0
实体,0,16,0
层次,0,4,0
属性,1,0,0
工具,5,7,3
工艺,0,2,0
平台,0,4,0
应用,4,1,0
影响因素,10,5,0
性能指标,138,79,57
总线,0,0,1
总线标准,0,2,0
成果,0,0,1
承办单位,0,0,4
技术,67,64,141
技术/方法,1,0,0
技术/标准,2,0,0
技术/语言,4,0,0
技术文档,0,0,3
技术领域,4,7,0
指标,0,13,0
挑战,0,3,0
损伤,0,4,0
接口,0,3,3
推理机,0,4,0
支持媒体,0,0,7
故障,7,14,0
故障模式,4,7,1
故障类型,19,18,11
数据,8,1,5
数据库,6,3,2
数据源,0,2,0
数据集,0,2,4
文件,0,0,2
文档,3,2,0
文献,0,0,6
方案,1,0,0
方法,90,143,12
方法论,0,3,4
日期,0,0,2
时间,1,0,0
曲线,2,0,0
服务资源,0,8,0
术语,2,0,0
机制,4,4,0
机构,24,38,0
机构/公司,6,0,0
材料,2,9,3
架构,5,6,1
标准,4,6,5
标准/指南,2,0,0
框架,0,1,0
检查表,0,0,1
概念,27,57,19
概念/术语,7,0,0
模块,4,13,4
模型,225,139,112
模型/架构,9,0,0
流程,0,1,3
物理量,4,0,0
特征,6,0,0
特征参数,5,0,0
特征量,1,0,0
现象,1,0,1
理论,15,4,5
疾病/健康问题,4,0,0
研究,0,3,14
研究主体,1,0,0
研究人员,3,0,0
研究对象,15,1,2
研究方向,2,0,0
研究方法,6,0,6
研究机构,11,0,0
研究结果,115,52,63
研究问题,2,0,0
研究阶段,6,0,0
研究领域,5,5,3
硬件,4,0,0
硬件平台,0,0,1
等级,0,2,0
策略,0,1,0
算法,147,127,175
算法/模型,2,0,0
系数,5,8,2
系统,87,99,38
系统/平台,7,0,0
系统工程实践,0,0,1
系统建模语言,0,0,1
组件,18,27,3
组织,1,8,6
组织/公司,5,0,0
组织机构,8,0,0
结构,0,0,1
结果,0,8,1
统计方法,0,1,0
编程语言/工具,1,0,0
缺陷,1,0,0
网址,0,0,1
网络,0,0,1
装备,12,0,0
解决方案,4,0,0
论文,0,0,1
设备,5,29,2
语言,0,3,0
资源,0,1,0
软件,7,10,5
软件平台,0,0,1
软件环境,0,0,1
过程,0,2,0
部件,7,16,3
部件/模块,7,0,0
问题,4,2,3
阶段,0,4,0
项目,1,4,2
飞机,0,27,0
飞机型号,29,15,16
