semantic_pattern,syntactic_key,display_path,count
系统 → 预报 → 事件,nn->nn->nn->dobj->rcmod->dep->dobj,飞机(nn) — 健康(nn) — 管理(nn) — 系统(dobj) — 察觉(rcmod) — 预报(dep) — 故障(dobj),6
技术 → 应用于 → 飞机型号,nn->nsubj->conj->root->root->conj->dobj->assmod->plmod->lobj,智能(nn) — 技术(nsubj) — 应用(conj) — 是(root) — 是(root) — 研究(conj) — 应用(dobj) — 在(assmod) — 上(plmod) — 波音787(lobj),5
Model → 包含 → 子系统模型,nn->nn->nn,滑油(nn) — 预测(nn) — 系统(nn),4
方法 → 分配 → 功能,conj->assm,功能(conj) — 的(assm),4
体系结构 → 包含 → 层级,amod->nn->dobj->dep->root->root->nsubj->prnmod,层次化(amod) — 体系(nn) — 结构(dobj) — 提出(dep) — 进行(root) — 具有(root) — 系统(nsubj) — PHM(prnmod),4
研究领域 → 分为 → 研究阶段,nn,故障(nn),4
类别 → 包括 → 数据,dobj,数据(dobj),4
技术 → 应用于 → 应用,nn->nn->nsubj->root->conj->prep->pobj->assmod->pobj->nn,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 起到(conj) — 为(prep) — 发展(pobj) — 在(assmod) — 行业(pobj) — 管道(nn),3
技术 → 包含方法 → 方法,nn->nn->nn->nsubj,发动机(nn) — 气路(nn) — 故障(nn) — 诊断(nsubj),3
学科 → 是 → 学科类别,cc->punct->nn->nn->dobj->root->nsubj->nn,"与(cc) — ""(punct) — 学科(nn) — 控制(nn) — 平台(dobj) — 依托(root) — 中心(nsubj) — 学科(nn)",3
技术 → 联系 → 环节,nn->punct->root->conj->nsubj,制造(nn) — 、(punct) — 复杂(root) — 多(conj) — 环节(nsubj),3
技术领域 → 包含 → 技术,amod->nn->nn->conj->assmod->assm,剩余(amod) — 寿命(nn) — 预测(nn) — 技术(conj) — 驱动(assmod) — 的(assm),3
问题 → 原因为 → 原因,amod->nn->assmod->assm->conj->dobj->root->prep->pccomp->dobj->assmod->pobj,自主式(amod) — 保障(nn) — 系统(assmod) — 的(assm) — 缺陷(conj) — 原因(dobj) — 分析(root) — 通过(prep) — 研究(pccomp) — 报告(dobj) — 关于(assmod) — 保障(pobj),3
方案 → 提高 → 系统属性,nn->nn->dobj->dep->root->prep->pobj->assmod->nn->nn->nn,系统(nn) — 解决(nn) — 方案(dobj) — 提出(dep) — 进行(root) — 对(prep) — 现状(pobj) — 技术(assmod) — 系统(nn) — 飞机(nn) — 电源(nn),2
