type,count
导致,87
基于,57
包含,51
用于,44
应用于,42
功能关系,40
包括,34
影响,26
组成,19
组成关系,19
提出,13
采用,13
使用,12
依赖关系,11
提供,11
支持,11
实现,10
通过,10
优于,8
减少,8
应用,7
演进关系,7
需要,7
预测,7
估计,6
基于...构建,6
改进,6
故障注入,6
结合,6
通过...实现,6
利用,5
因果关系,5
提升,5
涉及,5
衡量,5
适用于,5
验证,5
分为,4
反映,4
应用领域,4
建立,4
开发,4
改进了,4
构建,4
解决,4
交互信息通过,3
划分,3
区分,3
定义,3
对比,3
属于,3
引入,3
手段/工具,3
探讨,3
描述,3
提高了,3
构成,3
求解,3
近似,3
验证了,3
依据,2
保留,2
决定,2
区分为,2
可以处理,2
增加,2
存储,2
完成,2
开发使用,2
接收,2
提高,2
是,2
比较关系,2
涌现地区,2
确定,2
结合使用,2
综合应用,2
融合,2
表明,2
计算,2
隶属于,2
需要提高,2
不适合,1
主办,1
主持,1
产生,1
传输,1
传递,1
体现,1
使用材料比例高,1
促进,1
保持,1
克服,1
克服了,1
制约,1
剪裁,1
占总费用比例,1
参考,1
发展,1
基于...实现,1
处理,1
存在,1
存在问题,1
宿驻在,1
导出,1
展示,1
建立在,1
建立基于,1
开展,1
开幕辞,1
承办,1
技术支持,1
指导,1
挑战,1
推广,1
提供了,1
提供信息给,1
提供参考,1
提供数据支持,1
提供理论基础,1
支持了,1
支持手段包括,1
无影响,1
旨在,1
旨在实现,1
旨在提高,1
旨在降低,1
明确,1
是...的重要组成部分,1
显示,1
来源,1
构建于,1
核心问题,1
模拟,1
用于分析,1
用于实现,1
用于建模,1
用于衡量,1
用于降低,1
监控,1
直接影响,1
管理,1
结合了,1
结合关系,1
结果为,1
缩短,1
缺点是,1
致辞,1
节省了,1
表征,1
规定,1
记录,1
设计并初步实现了,1
评价,1
跟踪,1
输入,1
输出,1
达到,1
追踪,1
通过对比验证,1
遵循,1
配合,1
针对,1
降低,1
集成,1
需要发展,1
