type,count
包括,55
包含,51
应用于,34
采用,33
用于,29
分为,24
基于,24
由...组成,24
可分为,21
导致,19
提出,19
实现,13
具有,9
发展趋势,9
提高,9
是,9
装备了,9
存在问题,8
引入到,8
是...的一种,8
结合,8
借助,7
由...构成,7
进行对比,7
需要支撑技术,7
存在缺陷,6
特征为,6
组成,6
针对,6
面临挑战,6
具有模块,5
准确性优于,5
发展历程包括,5
发展趋势包括,5
完成,5
对比,5
提出了,5
是...的支撑技术,5
是...的核心技术,5
是一种,5
涉及关键技术,5
监测,5
组成部分,5
不适合用于,4
为...提供参考,4
以...为理论基础,4
优于,4
具有特点,4
利用,4
可进一步分为,4
实现方法包括,4
将...划分为,4
常用算法,4
应有设计需求,4
建立,4
开发了,4
性能优于,4
按功能分为,4
提高了,4
操纵,4
是...的关键技术,4
是...的技术手段,4
是...的神经网络结构,4
由...等4层集成,4
研究,4
细分为,4
结合了,4
融合,4
解决了,4
运用...构建,4
适用于,4
通过...构建,4
通过...验证有效性,4
为...奠定基础,3
产生,3
以...为代表,3
以...为支撑手段,3
以...为研究对象,3
依据,3
利用...的输入,3
功能,3
包含了,3
包含步骤,3
可分成,3
在预测效果上优于,3
失效主要由...导致,3
存在不足,3
安装了,3
广泛应用于,3
引起,3
弥补问题,3
归纳为关键参数,3
影响,3
提供,3
提供数据支持,3
是...的主要因素,3
是...的基础,3
是...的有效途径,3
根据...可知,3
比较了估计效果,3
用于计算,3
用于训练,3
研制了,3
维护对象覆盖,3
诊断,3
调用,3
进行,3
进行了,3
通过...验证,3
采取,3
采用...进行,3
降低,3
集成,3
不适合处理,2
为...提供技术支撑,2
以...为数据源,2
作为实现工具,2
作为特征参数监测,2
使...相配合,2
使用了,2
供给燃油,2
依此提出,2
借鉴,2
借鉴思想,2
共同制定出,2
关注,2
关联,2
具有更强的,2
减少,2
删除了,2
别名,2
反映,2
发展为,2
发现,2
受...影响,2
可以提高,2
可仿真获取,2
可实现,2
在...中加入,2
在...方面体现优势,2
在...进行飞行试验,2
在健康评估效果上优于,2
在含测量噪声时优于,2
基于...构建,2
增加了,2
失效将增加...的失效概率,2
存在数据冗余,2
完成飞行验证于,2
对...进行确定,2
导致下降,2
属于,2
应综合,2
建立在...基础上,2
建立基础,2
引入,2
得到,2
提出用于解决,2
提取,2
支持,2
支撑,2
是...的代表,2
是...的动力和支撑,2
是...的实现工具,2
是...的有效方法,2
是...的核心部分,2
是...的研究热点,2
是...的联合度量,2
是...的致命弱点,2
是...相结合的方式,2
有,2
机理主要是,2
构建,2
构建于,2
构成,2
查询,2
求解,2
涵义包括,2
用于去除,2
用于定阶,2
用于得到,2
用于检测,2
用于训练样本以完成,2
用于评定,2
用于进行,2
用于预测,2
的主要失效模式包括,2
研究机型包括,2
精度高于,2
结合...提出,2
结果与...吻合良好,2
维修需要投资,2
综合应用,2
表现为,2
解决,2
设立项目,2
达到,2
进行回归拟合,2
退化体现为,2
通过...进行比较,2
通过调整...进行优化,2
造成,2
需要解决的问题,2
预测,2
首次将两种功能放入同一个机箱,2
驱动,2
验证了...可行性,2
不同于,1
与...相比误差小于17%,1
与...配合使用,1
严重依赖于,1
严重影响,1
为,1
为...开发奠定基础,1
为...打下基础,1
为...提供,1
为...提供依据,1
为...提供信息,1
为...提供决策支持,1
为...提供思路,1
为...提供理论基础,1
为...提出,1
为...研制,1
为...设计,1
主要失效原因,1
仅适用于,1
从...转变,1
