paper,model,relation_count
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,deepseek,18
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,deepseek,17
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,deepseek,26
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,deepseek,14
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,deepseek,32
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,deepseek,22
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,deepseek,16
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,deepseek,14
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,deepseek,18
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,deepseek,12
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,deepseek,12
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,deepseek,18
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,deepseek,13
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,deepseek,22
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,deepseek,27
基于SVM方法的APU故障预测方法_MinerU__20250913052546,deepseek,34
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,deepseek,12
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,deepseek,28
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,deepseek,6
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,deepseek,38
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,deepseek,8
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,deepseek,38
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,deepseek,11
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,deepseek,20
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,deepseek,0
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,deepseek,0
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,deepseek,0
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,deepseek,0
航空电子设备故障预测框架与方法_MinerU__20250913053514,deepseek,0
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,deepseek,0
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,deepseek,0
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,deepseek,0
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,deepseek,0
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,deepseek,0
飞机发动机故障的多参数预测模型_MinerU__20250913053628,deepseek,0
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,deepseek,0
飞机性能参数预测的不确定性处理_MinerU__20250913053204,deepseek,0
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,deepseek,0
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,deepseek,0
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,deepseek,0
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,deepseek,0
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,deepseek,0
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,deepseek,0
飞机空调冷却子系统故障预测_MinerU__20250913053938,deepseek,0
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,deepseek,0
飞机维修系统的演变_MinerU__20250913053201,deepseek,0
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,deepseek,0
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,deepseek,0
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,deepseek,0
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,deepseek,0
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,gemini,12
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,gemini,18
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,gemini,19
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,gemini,14
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,gemini,16
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,gemini,17
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,gemini,10
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,gemini,14
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,gemini,9
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,gemini,14
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,gemini,19
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,gemini,8
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,gemini,17
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,gemini,18
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,gemini,31
基于SVM方法的APU故障预测方法_MinerU__20250913052546,gemini,19
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,gemini,19
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,gemini,18
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,gemini,18
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,gemini,20
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,gemini,17
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,gemini,20
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,gemini,17
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,gemini,32
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,gemini,0
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,gemini,0
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,gemini,0
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,gemini,0
航空电子设备故障预测框架与方法_MinerU__20250913053514,gemini,0
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,gemini,0
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,gemini,0
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,gemini,0
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,gemini,0
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,gemini,0
飞机发动机故障的多参数预测模型_MinerU__20250913053628,gemini,0
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,gemini,0
飞机性能参数预测的不确定性处理_MinerU__20250913053204,gemini,0
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,gemini,0
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,gemini,0
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,gemini,0
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,gemini,0
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,gemini,0
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,gemini,0
飞机空调冷却子系统故障预测_MinerU__20250913053938,gemini,0
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,gemini,0
飞机维修系统的演变_MinerU__20250913053201,gemini,0
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,gemini,0
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,gemini,0
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,gemini,0
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,gemini,0
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,kimi,17
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,kimi,17
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,kimi,25
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,kimi,14
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,kimi,14
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,kimi,10
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,kimi,10
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,kimi,12
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,kimi,6
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,kimi,10
