实体类型,deepseek数量,gemini数量,kimi数量,总计
Agent,16,0,0,16
主办单位,0,0,1,1
人物,16,16,11,43
任务,0,4,0,4
会议,1,1,2,4
传感器,28,14,5,47
体系结构,3,0,3,6
作者,5,1,1,7
供应商类型,0,0,1,1
信息流,3,0,3,6
健康状态,1,0,0,1
健康管理,1,0,0,1
元件,1,0,0,1
公司,13,5,11,29
公式,1,2,2,5
函数,17,29,8,54
分布,1,0,0,1
利益相关方,5,0,0,5
功能,18,10,0,28
功能模块,4,0,0,4
协议,1,1,0,2
原理,0,3,0,3
参数,97,19,64,180
发动机型号,0,0,1,1
图,9,0,0,9
图表类型,0,5,0,5
地区,0,0,1,1
地点,0,1,1,2
子系统,8,0,0,8
学科,2,0,0,2
实体,16,0,0,16
层次,4,0,0,4
属性,0,1,0,1
工具,7,5,3,15
工艺,2,0,0,2
平台,4,0,0,4
应用,1,4,0,5
影响因素,5,10,0,15
性能指标,79,138,57,274
总线,0,0,1,1
总线标准,2,0,0,2
成果,0,0,1,1
承办单位,0,0,4,4
技术,64,67,141,272
技术/方法,0,1,0,1
技术/标准,0,2,0,2
技术/语言,0,4,0,4
技术文档,0,0,3,3
技术领域,7,4,0,11
指标,13,0,0,13
挑战,3,0,0,3
损伤,4,0,0,4
接口,3,0,3,6
推理机,4,0,0,4
支持媒体,0,0,7,7
故障,14,7,0,21
故障模式,7,4,1,12
故障类型,18,19,11,48
数据,1,8,5,14
数据库,3,6,2,11
数据源,2,0,0,2
数据集,2,0,4,6
文件,0,0,2,2
文档,2,3,0,5
文献,0,0,6,6
方案,0,1,0,1
方法,143,90,12,245
方法论,3,0,4,7
日期,0,0,2,2
时间,0,1,0,1
曲线,0,2,0,2
服务资源,8,0,0,8
术语,0,2,0,2
机制,4,4,0,8
机构,38,24,0,62
机构/公司,0,6,0,6
材料,9,2,3,14
架构,6,5,1,12
标准,6,4,5,15
标准/指南,0,2,0,2
框架,1,0,0,1
检查表,0,0,1,1
概念,57,27,19,103
概念/术语,0,7,0,7
模块,13,4,4,21
模型,139,225,112,476
模型/架构,0,9,0,9
流程,1,0,3,4
物理量,0,4,0,4
特征,0,6,0,6
特征参数,0,5,0,5
特征量,0,1,0,1
现象,0,1,1,2
理论,4,15,5,24
疾病/健康问题,0,4,0,4
研究,3,0,14,17
研究主体,0,1,0,1
研究人员,0,3,0,3
研究对象,1,15,2,18
研究方向,0,2,0,2
研究方法,0,6,6,12
研究机构,0,11,0,11
研究结果,52,115,63,230
研究问题,0,2,0,2
研究阶段,0,6,0,6
研究领域,5,5,3,13
硬件,0,4,0,4
硬件平台,0,0,1,1
等级,2,0,0,2
策略,1,0,0,1
算法,127,147,175,449
算法/模型,0,2,0,2
系数,8,5,2,15
系统,99,87,38,224
系统/平台,0,7,0,7
系统工程实践,0,0,1,1
系统建模语言,0,0,1,1
组件,27,18,3,48
组织,8,1,6,15
组织/公司,0,5,0,5
组织机构,0,8,0,8
结构,0,0,1,1
结果,8,0,1,9
统计方法,1,0,0,1
编程语言/工具,0,1,0,1
缺陷,0,1,0,1
网址,0,0,1,1
网络,0,0,1,1
装备,0,12,0,12
解决方案,0,4,0,4
论文,0,0,1,1
设备,29,5,2,36
语言,3,0,0,3
资源,1,0,0,1
软件,10,7,5,22
软件平台,0,0,1,1
软件环境,0,0,1,1
过程,2,0,0,2
部件,16,7,3,26
部件/模块,0,7,0,7
问题,2,4,3,9
阶段,4,0,0,4
项目,4,1,2,7
飞机,27,0,0,27
飞机型号,15,29,16,60
