file,entities_marked,entities_correct,entities_pass_rate,relations_marked,relations_correct,relations_pass_rate,total_marked,total_correct,pass_rate
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015.response.json,33,31,93.94%,22,15,68.18%,55,46,83.64%
pass_rate_summary.json,0,0,0.00%,0,0,0.00%,0,0,0.00%
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023.response.json,42,42,100.00%,27,26,96.30%,69,68,98.55%
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147.response.json,50,49,98.00%,48,44,91.67%,98,93,94.90%
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920.response.json,37,37,100.00%,25,24,96.00%,62,61,98.39%
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923.response.json,57,57,100.00%,34,34,100.00%,91,91,100.00%
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931.response.json,44,44,100.00%,29,21,72.41%,73,65,89.04%
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935.response.json,41,41,100.00%,23,23,100.00%,64,64,100.00%
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941.response.json,38,38,100.00%,35,31,88.57%,73,69,94.52%
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944.response.json,63,63,100.00%,40,39,97.50%,103,102,99.03%
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950.response.json,45,45,100.00%,28,27,96.43%,73,72,98.63%
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956.response.json,39,39,100.00%,27,25,92.59%,66,64,96.97%
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007.response.json,39,39,100.00%,22,20,90.91%,61,59,96.72%
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446.response.json,36,36,100.00%,21,9,42.86%,57,45,78.95%
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443.response.json,58,58,100.00%,43,38,88.37%,101,96,95.05%
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449.response.json,71,70,98.59%,44,44,100.00%,115,114,99.13%
基于SVM方法的APU故障预测方法_MinerU__20250913052546.response.json,55,55,100.00%,37,36,97.30%,92,91,98.91%
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708.response.json,38,38,100.00%,29,24,82.76%,67,62,92.54%
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.response.json,52,52,100.00%,33,32,96.97%,85,84,98.82%
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.response.json,32,32,100.00%,24,22,91.67%,56,54,96.43%
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529.response.json,67,67,100.00%,42,32,76.19%,109,99,90.83%
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017.response.json,30,30,100.00%,26,25,96.15%,56,55,98.21%
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021.response.json,66,66,100.00%,37,34,91.89%,103,100,97.09%
