model,file,kind,type,text_or_head,tail
deepseek,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,entity,发表单位,空军工程大学工程学院,
deepseek,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,entity,发表单位,空军工程大学工程学院,
deepseek,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,entity,发表单位,陕西西安710038,
deepseek,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,entity,发表单位,陕西西安710038,
deepseek,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,entity,发表单位,西北工业大学航空学院,
deepseek,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,entity,发表单位,西北工业大学航空学院,
deepseek,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,entity,发表单位,西安710072,
deepseek,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,entity,发表单位,西安710072,
deepseek,飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258.json,entity,发表单位,中国民用航空学院,
gemini,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,entity,发表单位,空军工程大学工程学院,
gemini,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,entity,发表单位,空军工程大学工程学院,
gemini,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,entity,发表单位,陕西西安710038,
gemini,机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,entity,发表单位,陕西西安710038,
gemini,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,entity,发表单位,西北工业大学航空学院,
gemini,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,entity,发表单位,西北工业大学航空学院,
gemini,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,entity,发表单位,西安710072,
gemini,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,entity,发表单位,西安710072,
gemini,飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258.json,entity,发表单位,中国民用航空学院,
