type,count
基于,73
应用于,69
包含,53
导致,41
包括,40
用于,37
优于,35
提高了,26
验证了,19
提出了,13
使用,12
实现,12
评估使用,12
采用,12
影响,11
演化为,10
完成,8
支撑,8
编号为,8
分为,7
改进,7
利用,6
是...的子类,6
构建了,6
比较,6
比较了,6
研究了,6
解决,6
具有,5
反映了,5
发展,5
实现了,5
提出,5
结合,5
结合了,5
通过,5
集成,5
预测,5
预测了,5
减少了,4
处理了,4
建立了,4
提供,4
提供了,4
提供了保障,4
支持,4
改进了,4
显示了,4
构成包括,4
涉及,4
表达为,4
计算,4
训练了,4
评价了,4
进行,4
连接,4
采用了,4
优化,3
使用了,3
具有优点,3
实例,3
对应,3
对比了,3
导致了,3
挑战,3
描述了,3
构建,3
由...组成,3
确定,3
给出了,3
融合,3
解决了,3
趋势是,3
达到,3
达到了,3
适用于,3
降低了,3
限制了,3
面临,3
不需要增加人为因素,2
优势于,2
优化了,2
借鉴了,2
减少,2
分析,2
分离,2
分类为,2
分解为,2
删除了,2
加入了,2
包含了,2
反映,2
增加了,2
完成了,2
对比分析,2
平均占用率为,2
弥补了,2
影响了,2
指出,2
提取,2
提高,2
是...的研究对象,2
构成,2
求解,2
用于监测,2
目标是,2
综合应用,2
综述,2
训练,2
设置,2
设计用于,2
评估了,2
跟踪了,2
输入,2
运行时间为,2
送往,2
选取了,2
需要,2
验证,2
AUC值为,1
不同于,1
不能满足,1
交互,1
代表了,1
仿真获取,1
优势更明显于,1
估计,1
作为,1
作为特征量,1
依据,1
保证,1
保证了,1
修正了,1
克服,1
分析了,1
分析梳理,1
分解了,1
创新性,1
初始电阻为,1
利用序列最小最优化算法求解了,1
利用高斯核函数处理了,1
劣势于,1
区分,1
占到了,1
去除,1
发出,1
发展于,1
发展自,1
可用于降低,1
在...上准确率超过99.7%,1
基于了,1
处于,1
处理,1
失效阈值为,1
宿驻在,1
封装为,1
将平均绝对误差降低至0.027,1
尝试,1
属于,1
应用了,1
度量用,1
建立,1
建议了,1
开发,1
开发了,1
引入,1
得出,1
微调,1
成熟于,1
打下了基础,1
抑制,1
报警时刻为,1
报警阈值为,1
拟合为,1
拟合了,1
指导了,1
挑战是,1
推广了,1
描述,1
提供参考,1
提供技术支撑,1
提供接口,1
提出用于解决,1
提升,1
提取了,1
揭示了,1
搭建了,1
收集,1
改进为,1
故障时刻为,1
敏感,1
无法解决,1
时间间隔为,1
映射到,1
是主要失效原因,1
是延伸,1
更新了,1
来源于,1
构建在,1
根据,1
模拟了,1
模拟通过,1
比...更高级,1
求解精度高于,1
汇总到,1
注入通过,1
理论RUL为,1
生产,1
生成,1
用于实现,1
用于解决,1
用于验证,1
电阻减少量为,1
监控了,1
监视了,1
直接影响,1
相连,1
确定了,1
稳定性指标为,1
简化,1
管理,1
统一了,1
综述了,1
节省了,1
融入,1
衡量,1
补充,1
表征,1
表明,1
表现为,1
解出了,1
计算得到,1
计算用,1
设计,1
设计了,1
证明了,1
评价,1
误差小于,1
调用,1
跟踪,1
转化为,1
输出为,1
进入,1
送至,1
选取,1
选择了,1
选用了,1
通过...分析,1
通过...实现,1
通过...监控,1
通过...进行,1
通过增加线性约束解决了,1
遵循,1
配备有,1
重点发展,1
难以拟合,1
集成在,1
需要投资,1
预判了,1
预测RUL为,1
首次提出,1
