filename,total_pairs,intra_sentence_paths,cross_sentence_paths,path_found,no_path_found,aligned_pairs
2017预测与健康管理(PHM)研讨会在西安召开依存路径,14,9,5,23,0,9
A320飞机空调系统故障预测模型研究依存路径,11,3,8,14,0,3
ATML在综合运载器健康管理系统中的应用依存路径,11,7,4,18,0,7
F-35飞机自主式保障系统缺陷及原因分析依存路径,13,6,7,19,0,6
GA-WNN在飞机引气系统故障预测的研究依存路径,12,7,5,19,0,7
GJB289A总线网络电气特性仿真及故障分析依存路径,11,3,8,14,0,3
PHM与保障信息系统信息集成使用方法研究依存路径,11,6,5,17,0,6
PHM技术在航空结构疲劳寿命预测中的应用依存路径,10,7,3,17,0,7
一种云环境下的发动机健康管理系统及其应用依存路径,7,7,0,14,0,7
一种基于故障统计数据的发动机风险预测依存路径,10,9,1,19,0,9
一种基于神经网络的航空发动机剩余寿命预估方法依存路径,12,6,6,18,0,6
为未来做好准备依存路径,8,4,4,12,0,4
产品新闻发布依存路径,5,5,0,10,0,5
人工智能在波音787上的应用与思考依存路径,15,7,8,22,0,7
从金属材料疲劳性能的力学描述到飞机结构疲劳寿命评定：现状与展望依存路径,13,7,6,20,0,7
健康管理在机载雷达中的应用研究依存路径,11,10,1,21,0,10
先进战斗机强度设计技术发展与实践依存路径,13,10,3,23,0,10
先进航空发动机核心关键技术依存路径,13,2,11,15,0,2
关于故障预测与健康管理技术的几点认识依存路径,16,11,5,27,0,11
军用航空发动机气路故障诊断技术进展依存路径,13,7,6,20,0,7
军用飞机PHM技术进展分析及问题研究依存路径,14,14,0,28,0,14
军用飞机PHM系统一体化设计架构分析依存路径,12,7,5,19,0,7
军用飞机二线测试设备现状及发展趋势依存路径,10,6,4,16,0,6
军用飞机无维修工作期参数分解方法研究依存路径,10,10,0,20,0,10
军用飞机预测与健康管理系统性能度量体系研究依存路径,9,9,0,18,0,9
南京航空航天大学导航研究中心依存路径,7,7,0,14,0,7
双向LSTM神经网络的航空发动机故障预测依存路径,16,5,11,21,0,5
发动机数据监视和存储策略依存路径,10,9,1,19,0,9
可解释性智能监测诊断网络构造及航空发动机整机试车与中介轴承诊断应用依存路径,15,5,10,20,0,5
可靠性工程四川省重点实验室依存路径,19,19,0,38,0,19
后人工智能背景下装备测试研讨会在成都召开依存路径,9,9,0,18,0,9
商用大飞机健康管理应用研究依存路径,8,4,4,12,0,4
国外综合诊断、预测与健康管理技术的发展及应用依存路径,7,7,0,14,0,7
基于AFDX网络的综合模块化航电故障注入技术依存路径,9,6,3,15,0,6
基于ARIMA模型的民用航空发动机低压转子振动故障分析依存路径,10,4,6,14,0,4
基于ASAAC标准的BIT设计依存路径,14,9,5,23,0,9
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法依存路径,15,7,8,22,0,7
基于Copula相似性的航空发动机RUL预测依存路径,10,5,5,15,0,5
基于Elman网络的某型直升机飞行状态识别依存路径,7,7,0,14,0,7
基于EMD和RVM-AR的航空发动机磨损故障预测模型依存路径,17,17,0,34,0,17
