论文stem,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,18173,13110,31,24,2.3646,1.8307,0.7742
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,15055,10731,25,22,2.3297,2.0501,0.8800
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,1334,964,34,27,35.2697,28.0083,0.7941
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,13356,9654,25,20,2.5896,2.0717,0.8000
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,16049,10982,71,37,6.4651,3.3691,0.5211
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,30275,21464,32,29,1.4909,1.3511,0.9062
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,25342,15953,57,22,3.5730,1.3791,0.3860
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,14997,11295,23,18,2.0363,1.5936,0.7826
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,30722,18514,71,25,3.8349,1.3503,0.3521
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,16863,13135,29,19,2.2078,1.4465,0.6552
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,11561,9559,23,18,2.4061,1.8830,0.7826
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,35271,16090,39,26,2.4239,1.6159,0.6667
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,24838,20937,22,19,1.0508,0.9075,0.8636
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,16282,13642,45,28,3.2986,2.0525,0.6222
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,21460,17794,91,32,5.1141,1.7984,0.3516
基于SVM方法的APU故障预测方法_MinerU__20250913052546,17800,12737,43,40,3.3760,3.1405,0.9302
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,14789,11984,22,17,1.8358,1.4186,0.7727
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,7012,5963,39,34,6.5403,5.7018,0.8718
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,11475,9194,15,12,1.6315,1.3052,0.8000
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,13212,11663,52,45,4.4585,3.8584,0.8654
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,9471,7487,16,13,2.1370,1.7363,0.8125
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,26695,20655,63,45,3.0501,2.1786,0.7143
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,18464,13700,29,17,2.1168,1.2409,0.5862
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,17455,14229,32,25,2.2489,1.7570,0.7812
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,19166,12560,26,22,2.0701,1.7516,0.8462
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,10693,8406,29,25,3.4499,2.9741,0.8621
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,10479,9448,42,25,4.4454,2.6461,0.5952
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,13180,11415,50,28,4.3802,2.4529,0.5600
航空电子设备故障预测框架与方法_MinerU__20250913053514,18838,11643,20,16,1.7178,1.3742,0.8000
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,22854,17022,50,20,2.9374,1.1750,0.4000
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,15316,10923,21,17,1.9225,1.5563,0.8095
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,8157,6623,47,23,7.0965,3.4727,0.4894
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,15607,12540,67,42,5.3429,3.3493,0.6269
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,15298,9533,34,20,3.5666,2.0980,0.5882
飞机发动机故障的多参数预测模型_MinerU__20250913053628,12881,9769,17,17,1.7402,1.7402,1.0000
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,11656,4390,27,16,6.1503,3.6446,0.5926
飞机性能参数预测的不确定性处理_MinerU__20250913053204,21423,16655,19,17,1.1408,1.0207,0.8947
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,6814,6094,14,10,2.2973,1.6410,0.7143
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,36848,30467,60,38,1.9693,1.2473,0.6333
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,13585,10205,19,15,1.8618,1.4699,0.7895
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,13044,11328,41,28,3.6194,2.4718,0.6829
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,43982,36814,34,40,0.9236,1.0865,1.1765
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,6683,5898,27,24,4.5778,4.0692,0.8889
飞机空调冷却子系统故障预测_MinerU__20250913053938,24658,15722,28,12,1.7809,0.7633,0.4286
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,40104,33139,64,51,1.9313,1.5390,0.7969
飞机维修系统的演变_MinerU__20250913053201,5927,5305,23,9,4.3355,1.6965,0.3913
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,12421,9688,17,14,1.7547,1.4451,0.8235
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,5569,3586,21,19,5.8561,5.2984,0.9048
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,8733,5661,22,17,3.8862,3.0030,0.7727
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,14698,11969,16,14,1.3368,1.1697,0.8750
