text,type,gemini,deepseek,kimi
'场景- 需求- 功能- 逻辑- 物理'五层协同建模框架,架构,1,0,0
$m{chi^2}$ 检验,统计方法,0,0,1
$H_{ty}$ 混敏度,技术,0,0,1
$H_{ty}$ 混敏度振动抑制方法,技术,0,0,1
$J_{\mathrm{RMSE}}$,性能指标,1,0,0
$J_{\mathrm{Score}}$,性能指标,1,0,0
$Q$学习,算法,0,0,1
+5V输出电压数据序列,数据,1,1,0
0.00026的均方误差,研究结果,0,1,0
0.0029的ARV值,研究结果,0,1,1
0.008的均方根误差,研究结果,0,1,0
0.0122的MSE,研究结果,0,1,0
0.027,研究结果,0,1,0
0.08%的虚警率,研究结果,0,1,0
0.0973,研究结果,1,0,0
0.0996,研究结果,1,0,0
0.12%,研究结果,0,0,1
0.12%的预测误差,研究结果,0,1,0
0.124639,研究结果,1,0,0
0.124639的预测E_NRMSE,研究结果,0,1,0
0.1501,研究结果,1,0,0
0.190510,研究结果,1,0,0
0.255297的预测E_NRMSE,研究结果,0,1,0
0.30%的平均相对误差,研究结果,0,1,1
0.3264,研究结果,1,0,0
0.3264的MSE,研究结果,0,1,0
0.4349的MAE值,研究结果,0,1,0
0.4948%,研究结果,1,0,0
0.5%以内的估计误差,研究结果,0,0,1
0.5%的估计误差,研究结果,0,1,0
0.652,研究结果,1,0,0
0.652的相关系数,研究结果,0,1,0
0.668,研究结果,1,0,0
0.668的相关系数,研究结果,0,1,0
0.784健康评估值,研究结果,0,1,0
0.7的可靠性,研究结果,0,0,1
0.7的预测结果可靠性,研究结果,1,0,0
0.9%的平均相对误差,研究结果,0,1,0
0.9261,结果,0,1,0
0.9431,结果,0,1,0
0.9647的相关度,研究结果,0,1,0
0.965的相关系数,研究结果,0,1,0
0.976的相关系数,研究结果,0,1,0
0.9990的F1分数,研究结果,0,1,0
0.9998的AUC,研究结果,0,1,0
0.9999的诊断准确率,研究结果,1,0,0
1%以内,研究结果,1,0,0
1.0000的诊断精度,研究结果,1,0,0
1.3亿美元,数值,0,1,0
1.41,研究结果,0,1,0
1.7%的提高,研究结果,0,1,1
10%的任务完备率提高,研究结果,0,0,1
10%的任务成功率提高,研究结果,0,1,0
10%的战备完好性提高,研究结果,0,1,0
10%的提高,研究结果,0,1,0
10%的精度提升,研究结果,0,1,0
10.7%的患病率,研究结果,0,1,0
100%恢复发动机推力,研究结果,0,1,0
100%恢复发动机的推力,研究结果,1,0,1
100%模型结构覆盖,研究结果,1,0,0
100%的故障预测正确率,研究结果,0,0,1
100%的正确率,研究结果,1,1,0
1009—3516(2005)02—0001—03,文章编号,0,1,0
100亿美元,数值,0,1,0
100步循环,研究结果,0,1,0
12%,数值,0,1,0
12.5%的提高,研究结果,0,1,1
13%的误差,研究结果,0,1,0
13.053%的预测误差减少,研究结果,0,1,0
13.3%的总误报率,研究结果,1,0,0
13.3%的误报率,研究结果,0,1,0
13.4%的患病率,研究结果,0,1,0
13个向量,数据,1,0,0
14.1%的患病率,研究结果,0,1,0
14种时域特征,数据,1,0,0
15.188的RMSE,研究结果,0,1,0
15.9%的患病率,研究结果,0,1,0
150步循环,研究结果,0,1,0
1553B总线,总线标准,0,1,0
1553B总线,标准/规范,1,0,0
1553B模块,模块,0,1,0
1553总线,总线,0,1,0
17~24V,值,0,1,0
18.2%,研究结果,1,0,0
18.2%的患病率,研究结果,0,1,0
19.1%的提高,研究结果,0,1,1
1,研究结果,2,0,0
1号液压系统,系统,0,1,0
1号系统低压发生概率由0上升至0.92,研究结果,1,0,0
1套电系统,系统/部件,1,0,0
1的RA,研究结果,0,1,0
1的相关系数,研究结果,0,1,0
1范数模型,模型,0,0,1
2.3%,数值,0,1,0
20%,数值,0,2,0
20%~40%的维修人力减少,研究结果,0,1,0
2017年5月19日,时间,1,0,0
2017预测与健康管理（PHM）研讨会,会议,1,1,1
2020年11月27日,时间,1,0,0
2020预测与健康管理（PHM）研讨会,会议,1,0,1
2024- 04- 24,日期,0,0,1
2024-11-01,日期,0,0,1
2024铝合金,材料,1,1,1
2025-04-29,日期,0,0,1
207.21飞行小时,研究结果,0,1,0
21%的平均绝对误差,研究结果,0,1,0
21MPa,压力等级,0,1,0
21次非例行维修任务,研究结果,0,1,0
25%的出动架次率提高,研究结果,0,1,0
25%的航班延误和取消费用节省,研究结果,0,0,1
25%的费用节省,研究结果,0,3,0
28.9%,研究结果,1,0,0
28.9%的患病率,研究结果,0,1,0
28MPa,压力等级,0,1,0
29.2%,研究结果,1,0,0
29.2%的患病率,研究结果,0,1,0
2BP复合算法,算法,0,0,1
2D小波变换和生成对抗网络,技术,0,0,1
2H/1E方案,方案,0,1,0
2H/2E双体系飞行控制系统,技术,1,0,0
2参数Weibull分步,模型,1,1,1
2套液压系统+1套电操作系统方案,方案,1,0,0
2段Weibull分步,模型,1,1,1
3 点均值法,算法,1,0,0
3%的误差,研究结果,0,1,0
3.00%的虚警率,研究结果,1,0,0
3.01%的平均相对误差,研究结果,0,1,0
3.23%的剩余寿命预测误差,研究结果,0,1,0
3.2,研究结果,0,1,0
3.62%的提升,研究结果,0,1,0
3.67%的虚警率,研究结果,0,1,0
3.80,研究结果,0,1,0
3.8亿美元,数值,0,1,0
30%,数值,0,1,0
31.328%的预测误差减少,研究结果,0,1,0
31个工作循环失效预测,研究结果,0,1,0
31分贝,数值,0,1,0
33.8%的提高,研究结果,0,1,1
330飞行小时或368飞行小时作为维修间隔，引发飞行事故风险较低,研究结果,0,0,1
35MPa,压力等级,0,1,0
35MPa压力等级,性能指标,1,0,0
3D morphable model,技术,0,0,1
3H + E,方案,0,1,0
3H + E方案,技术方案,0,0,1
3H+E作动系统能源配置方案,方案,1,0,0
3H方案,方案,0,1,0
3s内平稳切换,研究结果,0,1,0
3s内平稳切换到风扇转速控制回路,研究结果,1,0,0
3参数Weibull分步,模型,1,1,1
3套独立液压系统,系统/部件,1,0,0
3套独立液压系统方案,方案,1,0,0
3层BP网络,模型,0,0,1
3层Browser/Server体系结构,架构,1,1,0
3层Browser/Server体系结构,结构,0,0,1
3层,研究结果,1,0,0
3点均值法,方法,0,1,0
3点均值法,模型,0,0,1
4%,数值,0,1,0
4.2%,性能指标,0,1,0
4.2%的均方根相对误差,研究结果,1,0,1
40%以上的成本降低,成本,0,0,1
40%的成本降低,研究结果,0,1,0
42%的发动机维护投入占比,研究结果,0,0,1
429总线,总线,0,1,0
440亿美元,数值,0,1,0
45%的平均绝对误差,研究结果,0,1,0
4G网络,技术,1,0,0
4V特性,概念,0,1,0
4V特性,特性,0,0,1
4WEH16E电液换向阀,元件,0,0,1
4WEH16E电液换向阀,部件,1,0,0
5%的误差,研究结果,0,1,0
