semantic_pattern,syntactic_key,display_path,example,path_len,title,subject,object
会议 → 在...召开 → 地点,nn->conj->punct->root->prep->pobj,"2017(nn) — 预测(conj) — ,(punct) — 召开(root) — 在(prep) — 西安(pobj)",[2017预测与健康管理(PHM)研讨会] → [西安],6,2017预测与健康管理(PHM)研讨会在西安召开,2017预测与健康管理(PHM)研讨会,西安
会议 → 于...召开 → 日期,nn->conj->punct->root->tmod->nn->nn,"2017(nn) — 预测(conj) — ,(punct) — 召开(root) — 19日(tmod) — 2017年(nn) — 5月(nn)",[2017预测与健康管理(PHM)研讨会] → [2017年5月19日],7,2017预测与健康管理(PHM)研讨会在西安召开,2017预测与健康管理(PHM)研讨会,2017年5月19日
会议 → 由...主办 → 机构,punct->nn->conj->root->root->prep->pobj->conj->nn->nn->nn->nn->conj,",(punct) — 2017(nn) — 预测(conj) — 召开(root) — 主办(root) — 由(prep) — 分会(pobj) — 分会(conj) — 学会(nn) — 中国(nn) — 电子(nn) — 电子(nn) — 测量(conj)",[2017预测与健康管理(PHM)研讨会] → [中国电子学会电子测量与仪器分会],13,2017预测与健康管理(PHM)研讨会在西安召开,2017预测与健康管理(PHM)研讨会,中国电子学会电子测量与仪器分会
会议 → 由...主办 → 机构,punct->nn->conj->root->root->prep->pobj->nn->nn->nn->nn->conj,",(punct) — 2017(nn) — 预测(conj) — 召开(root) — 主办(root) — 由(prep) — 分会(pobj) — 学会(nn) — 仪器(nn) — 仪表(nn) — 电子(nn) — 测量(conj)",[2017预测与健康管理(PHM)研讨会] → [中国仪器仪表学会电子测量与仪器分会],12,2017预测与健康管理(PHM)研讨会在西安召开,2017预测与健康管理(PHM)研讨会,中国仪器仪表学会电子测量与仪器分会
会议 → 由...承办 → 机构,nn->conj->punct->root->conj->dobj->nn->conj->nn->nn,"2017(nn) — 预测(conj) — ,(punct) — 召开(root) — 来自(conj) — 单位(dobj) — 大学(nn) — 大学(conj) — 空军(nn) — 工程(nn)",[2017预测与健康管理(PHM)研讨会] → [空军工程大学航空航天工程学院PHM实验室],10,2017预测与健康管理(PHM)研讨会在西安召开,2017预测与健康管理(PHM)研讨会,空军工程大学航空航天工程学院PHM实验室
机构 → 参加 → 会议,nn->nn->conj->nn->dobj->conj->root->punct->nn->conj,"空军(nn) — 工程(nn) — 大学(conj) — 大学(nn) — 单位(dobj) — 来自(conj) — 召开(root) — ,(punct) — 2017(nn) — 预测(conj)",[空军工程大学] → [2017预测与健康管理(PHM)研讨会],10,2017预测与健康管理(PHM)研讨会在西安召开,空军工程大学,2017预测与健康管理(PHM)研讨会
机构 → 参加 → 会议,nn->conj->nn->dobj->conj->root->punct->nn->conj,"浙江(nn) — 大学(conj) — 大学(nn) — 单位(dobj) — 来自(conj) — 召开(root) — ,(punct) — 2017(nn) — 预测(conj)",[浙江大学] → [2017预测与健康管理(PHM)研讨会],9,2017预测与健康管理(PHM)研讨会在西安召开,浙江大学,2017预测与健康管理(PHM)研讨会
机构 → 参加 → 会议,nn->nn->conj->nn->dobj->conj->root->punct->nn->conj,"哈尔滨(nn) — 工业(nn) — 大学(conj) — 大学(nn) — 单位(dobj) — 来自(conj) — 召开(root) — ,(punct) — 2017(nn) — 预测(conj)",[哈尔滨工业大学] → [2017预测与健康管理(PHM)研讨会],10,2017预测与健康管理(PHM)研讨会在西安召开,哈尔滨工业大学,2017预测与健康管理(PHM)研讨会
机构 → 参加 → 会议,nn->nn->nn->conj->nn->dobj->conj->root->punct->nn->conj,"北京(nn) — 航空(nn) — 航天(nn) — 大学(conj) — 大学(nn) — 单位(dobj) — 来自(conj) — 召开(root) — ,(punct) — 2017(nn) — 预测(conj)",[北京航空航天大学] → [2017预测与健康管理(PHM)研讨会],11,2017预测与健康管理(PHM)研讨会在西安召开,北京航空航天大学,2017预测与健康管理(PHM)研讨会
机构 → 参加 → 会议,nn->nn->nn->nn->dobj->conj->root->punct->nn->conj,"南京(nn) — 航空(nn) — 航天(nn) — 大学(nn) — 单位(dobj) — 来自(conj) — 召开(root) — ,(punct) — 2017(nn) — 预测(conj)",[南京航空航天大学] → [2017预测与健康管理(PHM)研讨会],10,2017预测与健康管理(PHM)研讨会在西安召开,南京航空航天大学,2017预测与健康管理(PHM)研讨会
