论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,gemini,18173,13110,47,30,3.5850,2.2883,0.6383
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,gemini,15055,10731,40,31,3.7275,2.8888,0.7750
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,gemini,1334,964,53,57,54.9793,59.1286,1.0755
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,gemini,13356,9654,35,24,3.6254,2.4860,0.6857
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,gemini,16049,10982,50,26,4.5529,2.3675,0.5200
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,gemini,30275,21464,55,48,2.5624,2.2363,0.8727
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,gemini,25342,15953,72,28,4.5133,1.7552,0.3889
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,gemini,14997,11295,47,38,4.1611,3.3643,0.8085
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,gemini,30722,18514,51,43,2.7547,2.3226,0.8431
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,gemini,16863,13135,52,40,3.9589,3.0453,0.7692
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,gemini,11561,9559,29,26,3.0338,2.7199,0.8966
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,gemini,35271,16090,43,27,2.6725,1.6781,0.6279
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,gemini,24838,20937,45,27,2.1493,1.2896,0.6000
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,gemini,16282,13642,57,39,4.1783,2.8588,0.6842
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,gemini,21460,17794,114,65,6.4067,3.6529,0.5702
基于SVM方法的APU故障预测方法_MinerU__20250913052546,gemini,17800,12737,45,30,3.5330,2.3553,0.6667
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,gemini,14789,11984,81,52,6.7590,4.3391,0.6420
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,gemini,7012,5963,60,44,10.0620,7.3788,0.7333
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,gemini,11475,9194,53,36,5.7646,3.9156,0.6792
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,gemini,13212,11663,99,63,8.4884,5.4017,0.6364
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,gemini,9471,7487,46,35,6.1440,4.6748,0.7609
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,gemini,26695,20655,109,78,5.2772,3.7763,0.7156
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,gemini,18464,13700,74,63,5.4015,4.5985,0.8514
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,gemini,17455,14229,116,73,8.1524,5.1304,0.6293
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,gemini,19166,12560,55,32,4.3790,2.5478,0.5818
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,gemini,10693,8406,105,82,12.4911,9.7549,0.7810
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,gemini,10479,9448,76,53,8.0440,5.6097,0.6974
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,gemini,13180,11415,74,52,6.4827,4.5554,0.7027
航空电子设备故障预测框架与方法_MinerU__20250913053514,gemini,18838,11643,60,49,5.1533,4.2085,0.8167
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,gemini,22854,17022,56,39,3.2899,2.2912,0.6964
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,gemini,15316,10923,40,30,3.6620,2.7465,0.7500
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,gemini,8157,6623,43,27,6.4925,4.0767,0.6279
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,gemini,15607,12540,101,70,8.0542,5.5821,0.6931
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,gemini,15298,9533,53,30,5.5596,3.1470,0.5660
飞机发动机故障的多参数预测模型_MinerU__20250913053628,gemini,12881,9769,33,21,3.3780,2.1497,0.6364
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,gemini,11656,4390,52,32,11.8451,7.2893,0.6154
飞机性能参数预测的不确定性处理_MinerU__20250913053204,gemini,21423,16655,46,31,2.7619,1.8613,0.6739
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,gemini,6814,6094,33,24,5.4152,3.9383,0.7273
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,gemini,36848,30467,90,81,2.9540,2.6586,0.9000
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,gemini,13585,10205,30,21,2.9397,2.0578,0.7000
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,gemini,13044,11328,72,64,6.3559,5.6497,0.8889
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,gemini,43982,36814,96,74,2.6077,2.0101,0.7708
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,gemini,6683,5898,84,69,14.2421,11.6989,0.8214
飞机空调冷却子系统故障预测_MinerU__20250913053938,gemini,24658,15722,43,30,2.7350,1.9082,0.6977
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,gemini,40104,33139,112,77,3.3797,2.3235,0.6875
飞机维修系统的演变_MinerU__20250913053201,gemini,5927,5305,60,46,11.3101,8.6711,0.7667
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,gemini,12421,9688,68,28,7.0190,2.8902,0.4118
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,gemini,5569,3586,34,36,9.4813,10.0390,1.0588
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,gemini,8733,5661,49,31,8.6557,5.4761,0.6327
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,gemini,14698,11969,46,31,3.8433,2.5900,0.6739
