type,count
方法,210
模型,188
技术,152
指标,95
算法,87
系统,78
飞机型号,68
系统/部件,56
概念,54
研究对象,53
故障,49
问题,48
性能指标,39
机构,34
理论,33
数据,32
参数,27
任务,26
研究问题,26
功能,24
影响因素,21
传感器,19
故障模式,18
组件,18
指标/参数,15
故障类型,15
发展趋势,14
指标/数据,14
故障诊断方法,13
维修策略,13
Agent,12
指标值,12
监测参数,12
研究结果,12
人物,11
函数,11
应用,11
故障特征,11
架构,11
研究方法,11
部件/模块,11
分析方法,10
工具,10
故障/现象,10
数据类型,10
系统模块,10
干预策略,9
技术/方法,9
数据库,9
框架,9
目标,9
软件,9
飞机部件,9
健康状态,8
应用领域,8
航空设备术语,8
体系结构,7
健康问题,7
可视化方法,7
媒体,7
层级,7
技术领域,7
模块,7
模型/系统,7
特征参数,7
系统组件,7
验证方法,7
PHM系统概念,6
公司,6
处理步骤,6
挑战,6
机载系统,6
标准,6
特征,6
系统类型,6
能力,6
设备,6
设计思想,6
PHM功能模块,5
关键技术,5
具体故障,5
功能模块,5
因素,5
图,5
平台,5
思想,5
技术方法,5
故障特征参数,5
数值,5
数据源,5
活动,5
电源系统类型,5
疾病/健康问题,5
相关利益方,5
研究阶段,5
策略,5
组织,5
结论,5
网络,5
评估指标,5
部件,5
PHM层级,4
使能技术,4
关键参数,4
分析,4
原理,4
子系统,4
对比方法,4
应用场景,4
性能参数,4
性能提升,4
技术文档,4
故障注入方法,4
数据分量,4
数据处理方法,4
数据库字段,4
数据集,4
机制,4
材料,4
模式,4
步骤,4
神经网络结构,4
系统/平台,4
组织机构,4
结果,4
维护方法,4
网络结构,4
航空设备,4
评估方法,4
过程,4
人名,3
依据,3
信息流,3
关键组件,3
对比模型,3
应用目标,3
接口,3
推理机,3
故障机理,3
故障相关概念,3
方案,3
方法大类,3
方法论,3
智能模型,3
条件,3
模型参数,3
状态,3
监测对象,3
研究者,3
系数,3
统计方法,3
职业病,3
融合层级,3
设计方法,3
诊断方法,3
软件工具,3
配置流程,3
预测方法,3
预测结果,3
上层系统,2
不足,2
传感器类型,2
体系,2
图表,2
基线模型,2
复合材料工艺,2
大纲,2
实验结果,2
库存类型,2
应用方向,2
性能,2
故障现象,2
故障预测子类,2
数学工具,2
数学模型,2
时间,2
核心问题,2
模型/算法,2
模型组件,2
监测指标,2
监测模式,2
监测诊断技术,2
相关系统,2
知识资源,2
研究内容,2
研究机构,2
研究课题,2
研究领域,2
硬件/工具,2
神经网络模型,2
程序,2
系统组成,2
维修活动,2
维修类型,2
维修设备,2
维护策略,2
范式,2
计划,2
评价指标,2
评估工具,2
语言,2
超参数,2
软件/语言,2
软件功能,2
进程,2
需求类型,2
项目,2
领域,2
风险,2
飞机子系统,2
飞机类型,2
API,1
PHM核心模块,1
中间层,1
中间结果,1
事件,1
产出物,1
仿真方法,1
仿真环境,1
优化算法,1
会议,1
传统技术,1
传统方案,1
传统诊断方法,1
体系结构/标准,1
体系结构模型,1
作者,1
保障模式,1
先进预测方法,1
公式,1
关键性能指标,1
决策,1
决策原则,1
决策方法,1
准则,1
分布,1
分布模型,1
分类方法,1
原则,1
参数集合,1
国家,1
基础模型,1
处理流程,1
学科,1
定时器,1
实验,1
实验方法,1
局限性,1
属性,1
工具-软件,1
底层设备,1
度量指标,1
建模语言,1
开发工具,1
开发框架,1
思路,1
成本,1
手册,1
技术/模型,1
技术概念,1
技术问题,1
报告,1
提出方案,1
提出方法,1
改进,1
故障概念,1
数学运算,1
数据来源,1
数据格式,1
数据特性,1
数据管理方案,1
方法类别,1
时间范围,1
未来研究,1
本文提出的模型,1
板卡,1
核函数,1
核心技术,1
核心概念,1
核心模型,1
核心组件,1
检验方法,1
模型/标准,1
模型类别,1
模型类型,1
模型结构,1
模型配置,1
测试方法,1
物理量,1
状态指标,1
现有方法,1
理论基础,1
理论方法,1
理论模型,1
监控对象,1
监测技术,1
目标体系,1
目标系统,1
研究实例,1
研究对象-系统,1
研究对象-组件,1
研究工作,1
研究成果,1
研究方向,1
研究目标,1
研究背景,1
硬件,1
硬件/平台,1
管理方法,1
系统方案,1
系统架构,1
系统概念,1
系统模型,1
结构,1
统计分布,1
维修建议,1
维修技术,1
维修措施,1
维修模式,1
编程技术,1
网络技术,1
航电系统,1
航电装置,1
行业,1
装置,1
角色,1
解决方案,1
计算结果,1
训练方法,1
训练算法,1
设计体系,1
设计理念,1
评价方法,1
评估任务,1
评估对象,1
评判方法,1
诊断技术,1
软件/工具,1
软件/环境,1
输入,1
输出,1
辨识模型,1
通信系统,1
通信语言,1
问题定义,1
需求,1
飞机结构,1
飞行器型号,1
验证数据,1
