文件,关系类型,gemini数,kimi数,仅gemini有,仅kimi有,Jaccard
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015.json,发表于,1,1,,,1.0000
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015.json,撰写,4,4,,,1.0000
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015.json,隶属,1,1,,,1.0000
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023.json,发表于,1,1,,,1.0000
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023.json,撰写,3,3,,,1.0000
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023.json,隶属,1,1,,,1.0000
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147.json,发表于,1,1,,,1.0000
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147.json,撰写,0,0,,,1.0000
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147.json,隶属,0,0,,,1.0000
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920.json,发表于,1,1,,,1.0000
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920.json,撰写,4,4,,,1.0000
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920.json,隶属,1,1,,,1.0000
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923.json,发表于,1,1,,,1.0000
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923.json,撰写,3,3,,,1.0000
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923.json,隶属,1,1,,,1.0000
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931.json,发表于,1,1,,,1.0000
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931.json,撰写,5,5,,,1.0000
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931.json,隶属,1,1,,,1.0000
