论文stem,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,18173,13110,31,18,2.3646,1.3730,0.5806
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,15055,10731,39,23,3.6343,2.1433,0.5897
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,1334,964,31,20,32.1577,20.7469,0.6452
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,13356,9654,27,20,2.7968,2.0717,0.7407
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,16049,10982,38,21,3.4602,1.9122,0.5526
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,30275,21464,45,24,2.0965,1.1182,0.5333
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,25342,15953,31,16,1.9432,1.0029,0.5161
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,14997,11295,26,18,2.3019,1.5936,0.6923
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,30722,18514,30,16,1.6204,0.8642,0.5333
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,16863,13135,35,21,2.6646,1.5988,0.6000
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,11561,9559,28,25,2.9292,2.6153,0.8929
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,35271,16090,36,16,2.2374,0.9944,0.4444
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,24838,20937,35,23,1.6717,1.0985,0.6571
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,16282,13642,29,24,2.1258,1.7593,0.8276
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,21460,17794,70,36,3.9339,2.0232,0.5143
基于SVM方法的APU故障预测方法_MinerU__20250913052546,17800,12737,31,25,2.4339,1.9628,0.8065
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,14789,11984,28,24,2.3364,2.0027,0.8571
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,7012,5963,39,24,6.5403,4.0248,0.6154
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,11475,9194,32,24,3.4805,2.6104,0.7500
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,13212,11663,44,27,3.7726,2.3150,0.6136
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,9471,7487,31,22,4.1405,2.9384,0.7097
