论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,gemini,18173,13110,52,31,3.9664,2.3646,0.5962
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,gemini,15055,10731,37,30,3.4480,2.7956,0.8108
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,gemini,1334,964,52,45,53.9419,46.6805,0.8654
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,gemini,13356,9654,51,39,5.2828,4.0398,0.7647
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,gemini,16049,10982,60,40,5.4635,3.6423,0.6667
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,gemini,30275,21464,61,38,2.8420,1.7704,0.6230
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,gemini,25342,15953,50,33,3.1342,2.0686,0.6600
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,gemini,14997,11295,41,34,3.6299,3.0102,0.8293
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,gemini,30722,18514,67,52,3.6189,2.8087,0.7761
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,gemini,16863,13135,40,30,3.0453,2.2840,0.7500
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,gemini,11561,9559,43,33,4.4984,3.4522,0.7674
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,gemini,35271,16090,54,35,3.3561,2.1753,0.6481
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,gemini,24838,20937,47,26,2.2448,1.2418,0.5532
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,gemini,16282,13642,55,40,4.0317,2.9321,0.7273
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,gemini,21460,17794,80,44,4.4959,2.4727,0.5500
基于SVM方法的APU故障预测方法_MinerU__20250913052546,gemini,17800,12737,52,43,4.0826,3.3760,0.8269
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,gemini,14789,11984,67,42,5.5908,3.5047,0.6269
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,gemini,7012,5963,70,59,11.7391,9.8943,0.8429
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,gemini,11475,9194,49,34,5.3296,3.6981,0.6939
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,gemini,13212,11663,103,81,8.8313,6.9450,0.7864
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,gemini,9471,7487,55,36,7.3461,4.8083,0.6545
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,gemini,26695,20655,80,45,3.8732,2.1786,0.5625
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,gemini,18464,13700,51,36,3.7226,2.6277,0.7059
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,gemini,17455,14229,53,41,3.7248,2.8814,0.7736
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,gemini,19166,12560,46,28,3.6624,2.2293,0.6087
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,gemini,10693,8406,91,63,10.8256,7.4946,0.6923
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,gemini,10479,9448,96,50,10.1609,5.2921,0.5208
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,gemini,13180,11415,85,70,7.4463,6.1323,0.8235
航空电子设备故障预测框架与方法_MinerU__20250913053514,gemini,18838,11643,60,35,5.1533,3.0061,0.5833
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,gemini,22854,17022,72,45,4.2298,2.6436,0.6250
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,gemini,15316,10923,56,32,5.1268,2.9296,0.5714
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,gemini,8157,6623,43,27,6.4925,4.0767,0.6279
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,gemini,15607,12540,109,76,8.6922,6.0606,0.6972
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,gemini,15298,9533,42,32,4.4057,3.3568,0.7619
飞机发动机故障的多参数预测模型_MinerU__20250913053628,gemini,12881,9769,36,31,3.6851,3.1733,0.8611
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,gemini,11656,4390,46,30,10.4784,6.8337,0.6522
飞机性能参数预测的不确定性处理_MinerU__20250913053204,gemini,21423,16655,41,26,2.4617,1.5611,0.6341
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,gemini,6814,6094,39,27,6.3997,4.4306,0.6923
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,gemini,36848,30467,111,90,3.6433,2.9540,0.8108
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,gemini,13585,10205,49,38,4.8016,3.7237,0.7755
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,gemini,13044,11328,73,60,6.4442,5.2966,0.8219
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,gemini,43982,36814,116,107,3.1510,2.9065,0.9224
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,gemini,6683,5898,62,49,10.5120,8.3079,0.7903
飞机空调冷却子系统故障预测_MinerU__20250913053938,gemini,24658,15722,42,28,2.6714,1.7809,0.6667
