index_label,paper,mean_overall_accuracy
Paper 1,飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,0.6940
Paper 2,航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,0.7065
Paper 3,航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,0.7340
Paper 4,飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,0.7404
Paper 5,基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,0.7427
Paper 6,基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,0.7443
Paper 7,航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,0.7489
Paper 8,航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,0.7803
Paper 9,航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,0.7836
Paper 10,飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,0.7843
Paper 11,基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,0.7867
Paper 12,基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,0.7890
Paper 13,基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,0.7901
Paper 14,基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,0.8017
Paper 15,飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,0.8201
