文件,期望实体数,期望关系数,增补前实体数,增补前关系数,当前实体数,当前关系数
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015.json,8,6,0,0,8,6
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023.json,6,5,0,0,6,5
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147.json,2,1,0,0,2,1
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920.json,7,6,0,0,7,6
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923.json,6,5,0,0,6,5
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931.json,10,7,0,0,10,7
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935.json,8,6,0,0,8,6
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941.json,5,4,0,0,5,4
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944.json,8,7,0,0,8,7
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950.json,9,7,0,0,9,7
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956.json,8,6,0,0,8,6
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007.json,11,8,0,0,11,8
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446.json,8,6,0,0,8,6
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443.json,8,6,0,0,8,6
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449.json,6,5,0,0,6,5
基于SVM方法的APU故障预测方法_MinerU__20250913052546.json,7,6,0,0,7,6
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708.json,6,5,0,0,6,5
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,13,6,0,0,9,6
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,13,6,0,0,9,6
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529.json,9,7,0,0,9,7
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017.json,6,5,0,0,6,5
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021.json,11,7,0,0,11,7
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113.json,9,6,0,0,9,6
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537.json,7,5,0,0,7,5
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531.json,10,7,0,0,10,7
航空机电作动器健康管理验证系统研究_MinerU__20250913053120.json,11,7,0,0,11,7
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137.json,7,5,0,0,7,5
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521.json,7,5,0,0,7,5
航空电子设备故障预测框架与方法_MinerU__20250913053514.json,7,5,0,0,7,5
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516.json,9,7,0,0,9,7
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133.json,4,3,0,0,4,3
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650.json,7,6,0,0,7,6
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926.json,7,6,0,0,7,6
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923.json,8,6,0,0,8,6
飞机发动机故障的多参数预测模型_MinerU__20250913053628.json,6,4,0,0,6,4
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934.json,7,6,0,0,7,6
飞机性能参数预测的不确定性处理_MinerU__20250913053204.json,6,5,0,0,6,5
飞机操纵面故障的多参数预测模型_MinerU__20250913053608.json,8,6,0,0,8,6
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919.json,7,5,0,0,7,5
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946.json,6,5,0,0,6,5
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617.json,6,4,0,0,6,4
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620.json,7,6,0,0,7,6
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624.json,7,4,0,0,7,4
飞机空调冷却子系统故障预测_MinerU__20250913053938.json,5,4,0,0,5,4
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930.json,9,8,0,0,9,8
飞机维修系统的演变_MinerU__20250913053201.json,4,3,0,0,4,3
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943.json,7,5,0,0,7,5
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258.json,6,4,0,0,5,4
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301.json,8,5,0,0,8,5
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303.json,6,5,0,0,6,5
