论文stem,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,18173,13110,27,23,2.0595,1.7544,0.8519
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,15055,10731,27,22,2.5161,2.0501,0.8148
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,1334,964,27,26,28.0083,26.9710,0.9630
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,13356,9654,28,20,2.9004,2.0717,0.7143
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,16049,10982,24,19,2.1854,1.7301,0.7917
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,30275,21464,27,17,1.2579,0.7920,0.6296
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,25342,15953,20,16,1.2537,1.0029,0.8000
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,14997,11295,20,16,1.7707,1.4166,0.8000
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,30722,18514,17,13,0.9182,0.7022,0.7647
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,16863,13135,19,17,1.4465,1.2943,0.8947
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,11561,9559,16,13,1.6738,1.3600,0.8125
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,35271,16090,33,34,2.0510,2.1131,1.0303
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,24838,20937,22,16,1.0508,0.7642,0.7273
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,16282,13642,22,17,1.6127,1.2462,0.7727
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,21460,17794,37,32,2.0794,1.7984,0.8649
基于SVM方法的APU故障预测方法_MinerU__20250913052546,17800,12737,45,27,3.5330,2.1198,0.6000
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,14789,11984,14,12,1.1682,1.0013,0.8571
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,7012,5963,41,37,6.8757,6.2049,0.9024
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,11475,9194,19,15,2.0666,1.6315,0.7895
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,13212,11663,27,20,2.3150,1.7148,0.7407
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,9471,7487,15,13,2.0035,1.7363,0.8667
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,26695,20655,32,27,1.5493,1.3072,0.8438
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,18464,13700,16,12,1.1679,0.8759,0.7500
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,17455,14229,20,14,1.4056,0.9839,0.7000
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,19166,12560,29,39,2.3089,3.1051,1.3448
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,10693,8406,28,20,3.3310,2.3793,0.7143
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,10479,9448,26,23,2.7519,2.4344,0.8846
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,13180,11415,24,25,2.1025,2.1901,1.0417
航空电子设备故障预测框架与方法_MinerU__20250913053514,18838,11643,22,17,1.8895,1.4601,0.7727
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,22854,17022,19,17,1.1162,0.9987,0.8947
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,15316,10923,13,12,1.1901,1.0986,0.9231
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,8157,6623,14,12,2.1138,1.8119,0.8571
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,15607,12540,42,38,3.3493,3.0303,0.9048
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,15298,9533,15,12,1.5735,1.2588,0.8000
飞机发动机故障的多参数预测模型_MinerU__20250913053628,12881,9769,20,16,2.0473,1.6378,0.8000
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,11656,4390,48,24,10.9339,5.4670,0.5000
飞机性能参数预测的不确定性处理_MinerU__20250913053204,21423,16655,22,20,1.3209,1.2008,0.9091
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,6814,6094,17,14,2.7896,2.2973,0.8235
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,36848,30467,37,21,1.2144,0.6893,0.5676
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,13585,10205,17,14,1.6659,1.3719,0.8235
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,13044,11328,35,30,3.0897,2.6483,0.8571
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,43982,36814,25,32,0.6791,0.8692,1.2800
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,6683,5898,23,42,3.8996,7.1211,1.8261
飞机空调冷却子系统故障预测_MinerU__20250913053938,24658,15722,17,16,1.0813,1.0177,0.9412
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,40104,33139,41,26,1.2372,0.7846,0.6341
飞机维修系统的演变_MinerU__20250913053201,5927,5305,33,20,6.2205,3.7700,0.6061
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,12421,9688,22,17,2.2709,1.7547,0.7727
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,5569,3586,29,29,8.0870,8.0870,1.0000
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,8733,5661,22,17,3.8862,3.0030,0.7727
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,14698,11969,17,14,1.4203,1.1697,0.8235
