论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,gemini,18173,13110,39,24,2.9748,1.8307,0.6154
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,gemini,15055,10731,34,26,3.1684,2.4229,0.7647
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,gemini,1334,964,51,56,52.9046,58.0913,1.0980
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,gemini,13356,9654,28,18,2.9004,1.8645,0.6429
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,gemini,16049,10982,44,21,4.0066,1.9122,0.4773
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,gemini,30275,21464,45,41,2.0965,1.9102,0.9111
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,gemini,25342,15953,64,22,4.0118,1.3791,0.3438
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,gemini,14997,11295,42,34,3.7185,3.0102,0.8095
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,gemini,30722,18514,43,36,2.3226,1.9445,0.8372
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,gemini,16863,13135,43,33,3.2737,2.5124,0.7674
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,gemini,11561,9559,21,20,2.1969,2.0923,0.9524
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,gemini,35271,16090,32,19,1.9888,1.1809,0.5938
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,gemini,24838,20937,37,21,1.7672,1.0030,0.5676
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,gemini,16282,13642,49,33,3.5918,2.4190,0.6735
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,gemini,21460,17794,108,60,6.0695,3.3719,0.5556
基于SVM方法的APU故障预测方法_MinerU__20250913052546,gemini,17800,12737,38,24,2.9834,1.8843,0.6316
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,gemini,14789,11984,75,47,6.2583,3.9219,0.6267
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,gemini,7012,5963,51,38,8.5527,6.3726,0.7451
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,gemini,11475,9194,44,30,4.7857,3.2630,0.6818
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,gemini,13212,11663,90,56,7.7167,4.8015,0.6222
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,gemini,9471,7487,40,30,5.3426,4.0069,0.7500
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,gemini,26695,20655,98,71,4.7446,3.4374,0.7245
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,gemini,18464,13700,65,57,4.7445,4.1606,0.8769
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,gemini,17455,14229,109,68,7.6604,4.7790,0.6239
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,gemini,19166,12560,45,25,3.5828,1.9904,0.5556
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,gemini,10693,8406,94,75,11.1825,8.9222,0.7979
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,gemini,10479,9448,69,48,7.3031,5.0804,0.6957
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,gemini,13180,11415,67,47,5.8695,4.1174,0.7015
航空电子设备故障预测框架与方法_MinerU__20250913053514,gemini,18838,11643,53,44,4.5521,3.7791,0.8302
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,gemini,22854,17022,47,32,2.7611,1.8799,0.6809
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,gemini,15316,10923,36,27,3.2958,2.4718,0.7500
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,gemini,8157,6623,36,21,5.4356,3.1708,0.5833
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,gemini,15607,12540,94,64,7.4960,5.1037,0.6809
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,gemini,15298,9533,45,24,4.7204,2.5176,0.5333
飞机发动机故障的多参数预测模型_MinerU__20250913053628,gemini,12881,9769,27,17,2.7638,1.7402,0.6296
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,gemini,11656,4390,45,26,10.2506,5.9226,0.5778
飞机性能参数预测的不确定性处理_MinerU__20250913053204,gemini,21423,16655,40,26,2.4017,1.5611,0.6500
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,gemini,6814,6094,25,18,4.1024,2.9537,0.7200
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,gemini,36848,30467,83,76,2.7243,2.4945,0.9157
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,gemini,13585,10205,24,16,2.3518,1.5679,0.6667
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,gemini,13044,11328,66,60,5.8263,5.2966,0.9091
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,gemini,43982,36814,89,68,2.4176,1.8471,0.7640
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,gemini,6683,5898,77,65,13.0553,11.0207,0.8442
飞机空调冷却子系统故障预测_MinerU__20250913053938,gemini,24658,15722,38,26,2.4170,1.6537,0.6842
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,gemini,40104,33139,103,69,3.1081,2.0821,0.6699
飞机维修系统的演变_MinerU__20250913053201,gemini,5927,5305,55,42,10.3676,7.9171,0.7636
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,gemini,12421,9688,61,23,6.2964,2.3741,0.3770
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,gemini,5569,3586,29,32,8.0870,8.9236,1.1034
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,gemini,8733,5661,41,26,7.2425,4.5928,0.6341
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,gemini,14698,11969,40,26,3.3420,2.1723,0.6500
