论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,gemini,18173,13110,28,22,2.1358,1.6781,0.7857
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,gemini,15055,10731,38,30,3.5411,2.7956,0.7895
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,gemini,1334,964,51,46,52.9046,47.7178,0.9020
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,gemini,13356,9654,32,21,3.3147,2.1753,0.6562
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,gemini,16049,10982,43,24,3.9155,2.1854,0.5581
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,gemini,30275,21464,44,30,2.0499,1.3977,0.6818
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,gemini,25342,15953,30,22,1.8805,1.3791,0.7333
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,gemini,14997,11295,31,24,2.7446,2.1248,0.7742
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,gemini,30722,18514,61,34,3.2948,1.8364,0.5574
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,gemini,16863,13135,37,23,2.8169,1.7510,0.6216
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,gemini,11561,9559,33,22,3.4522,2.3015,0.6667
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,gemini,35271,16090,28,18,1.7402,1.1187,0.6429
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,gemini,24838,20937,33,24,1.5762,1.1463,0.7273
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,gemini,16282,13642,57,40,4.1783,2.9321,0.7018
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,gemini,21460,17794,87,51,4.8893,2.8661,0.5862
基于SVM方法的APU故障预测方法_MinerU__20250913052546,gemini,17800,12737,28,23,2.1983,1.8058,0.8214
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,gemini,14789,11984,78,53,6.5087,4.4226,0.6795
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,gemini,7012,5963,41,40,6.8757,6.7080,0.9756
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,gemini,11475,9194,57,27,6.1997,2.9367,0.4737
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,gemini,13212,11663,51,40,4.3728,3.4296,0.7843
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,gemini,9471,7487,48,32,6.4111,4.2741,0.6667
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,gemini,26695,20655,79,59,3.8247,2.8565,0.7468
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,gemini,18464,13700,47,35,3.4307,2.5547,0.7447
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,gemini,17455,14229,75,41,5.2709,2.8814,0.5467
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,gemini,19166,12560,51,39,4.0605,3.1051,0.7647
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,gemini,10693,8406,46,30,5.4723,3.5689,0.6522
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,gemini,10479,9448,71,44,7.5148,4.6571,0.6197
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,gemini,13180,11415,72,42,6.3075,3.6794,0.5833
航空电子设备故障预测框架与方法_MinerU__20250913053514,gemini,18838,11643,32,25,2.7484,2.1472,0.7812
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,gemini,22854,17022,64,43,3.7598,2.5261,0.6719
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,gemini,15316,10923,40,34,3.6620,3.1127,0.8500
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,gemini,8157,6623,49,23,7.3985,3.4727,0.4694
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,gemini,15607,12540,87,63,6.9378,5.0239,0.7241
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,gemini,15298,9533,30,23,3.1470,2.4127,0.7667
飞机发动机故障的多参数预测模型_MinerU__20250913053628,gemini,12881,9769,22,14,2.2520,1.4331,0.6364
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,gemini,11656,4390,41,24,9.3394,5.4670,0.5854
飞机性能参数预测的不确定性处理_MinerU__20250913053204,gemini,21423,16655,30,19,1.8013,1.1408,0.6333
