file,entity_count,entity_type_count,relation_count,relation_type_count
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015.json,44,9,25,16
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023.json,31,17,25,20
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147.json,50,9,44,15
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920.json,44,26,33,27
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923.json,54,11,35,31
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931.json,51,20,31,15
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935.json,42,16,27,21
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941.json,36,16,30,21
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944.json,59,21,45,25
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950.json,31,14,23,18
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956.json,35,13,27,20
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007.json,43,10,27,16
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446.json,39,17,20,11
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443.json,47,11,34,20
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449.json,74,13,39,15
基于SVM方法的APU故障预测方法_MinerU__20250913052546.json,45,17,37,22
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708.json,61,16,37,21
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,62,19,53,23
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,41,17,28,20
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529.json,94,23,74,31
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017.json,49,14,31,21
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021.json,69,22,38,27
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113.json,42,18,30,23
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537.json,46,17,36,23
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531.json,36,14,21,14
航空机电作动器健康管理验证系统研究_MinerU__20250913053120.json,80,18,56,22
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137.json,89,20,45,39
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521.json,78,23,65,21
航空电子设备故障预测框架与方法_MinerU__20250913053514.json,53,19,30,18
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516.json,63,35,38,25
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133.json,52,15,29,22
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650.json,36,21,21,18
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926.json,102,23,70,31
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923.json,34,12,26,17
飞机发动机故障的多参数预测模型_MinerU__20250913053628.json,30,11,27,20
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934.json,39,16,24,20
飞机性能参数预测的不确定性处理_MinerU__20250913053204.json,35,12,21,19
飞机操纵面故障的多参数预测模型_MinerU__20250913053608.json,31,13,21,15
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919.json,104,15,85,14
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946.json,43,13,33,22
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617.json,67,29,56,20
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620.json,109,17,101,25
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624.json,55,17,45,25
飞机空调冷却子系统故障预测_MinerU__20250913053938.json,37,13,24,21
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930.json,83,24,52,29
飞机维修系统的演变_MinerU__20250913053201.json,56,22,36,30
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943.json,49,24,30,20
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258.json,46,18,40,28
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301.json,37,9,24,17
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303.json,52,15,24,20
