original,ascii
S: 任务,S: 
S: 体系结构,S: 
S: 参数,S: 
S: 平台,S: 
S: 技术,S: 
S: 技术领域,S: 
S: 数据,S: 
S: 方案,S: 
S: 方法,S: 
S: 概念,S: 
S: 活动,S: 
S: 理念,S: 
S: 研究,S: 
S: 算法,S: 
S: 系统,S: 
S: 组件,S: 
S: 设备,S: 
S: 软件,S: 
R: 使用,R: 
R: 具有,R: 
R: 利用,R: 
R: 基于,R: 
R: 实现,R: 
R: 应用于,R: 
R: 提供,R: 
R: 提出,R: 
R: 提升,R: 
R: 是,R: 
R: 结合,R: 
R: 采用,R: 
R: 针对,R: 
R: 验证,R: 
O: 任务,O: 
O: 功能,O: 
O: 参数,O: 
O: 属性,O: 
O: 应用,O: 
O: 应用领域,O: 
O: 技术,O: 
O: 指标,O: 
O: 故障,O: 
O: 数据,O: 
O: 方法,O: 
O: 状态,O: 
O: 目标,O: 
O: 算法,O: 
O: 系统,O: 
O: 设备,O: 
O: 问题,O: 
O: 需求,O: 
